star_name,frequency,time,amplitude,uncertainty,snr
J142555+1412.0, f090,1505681456.0,110.0,16.9,6.508875739644971
J142555+1412.0, f090,1505682038.0,78.4,24.1,3.2531120331950207
J142555+1412.0, f090,1505755026.0,131.5,15.4,8.53896103896104
J142555+1412.0, f150,1505755576.0,108.3,20.9,5.181818181818182
J142555+1412.0, f090,1505768142.0,64.6,15.5,4.16774193548387
J225302+1650.4, f090,1507162863.0,79.3,21.2,3.740566037735849
J225302+1650.4, f150,1507251240.0,74.7,24.8,3.0120967741935485
J225302+1650.4, f090,1509319770.0,60.8,19.2,3.1666666666666665
J051922-0720.5, f090,1511317488.0,103.6,24.7,4.194331983805668
J051922-0720.5, f090,1511317840.0,122.5,24.1,5.08298755186722
J200759+1609.9, f090,1536796662.0,191.2,22.7,8.422907488986784
J200759+1609.9, f090,1536797524.0,149.2,27.8,5.366906474820143
J200759+1609.9, f150,1536894720.0,108.7,32.0,3.396875
J200759+1609.9, f090,1536894720.0,119.1,25.2,4.726190476190476
J200759+1609.9, f090,1536979306.0,155.5,32.9,4.726443768996961
J200759+1609.9, f090,1537055155.0,92.5,23.0,4.021739130434782
J200759+1609.9, f150,1537055968.0,95.8,27.9,3.4336917562724016
J200759+1609.9, f090,1537055969.0,84.7,20.3,4.172413793103448
J200759+1609.9, f150,1537839500.0,146.4,44.2,3.3122171945701355
J192831-3507.9, f090,1538534292.0,83.2,27.5,3.0254545454545454
J142555+1412.1, f220,1540233775.0,359.0,109.6,3.2755474452554747
J142555+1412.1, f090,1542889831.0,142.6,16.1,8.857142857142856
J142555+1412.1, f090,1544184701.0,66.6,17.9,3.7206703910614527
J130046+1222.5, f150,1544452664.0,77.1,25.2,3.0595238095238093
J130529+1249.6, f150,1552635500.0,88.9,21.1,4.213270142180095
J130529+1249.6, f090,1552635514.0,158.2,18.0,8.788888888888888
J130529+1249.6, f090,1552636038.0,134.6,22.5,5.982222222222222
J130529+1249.6, f150,1552636051.0,103.4,25.0,4.136
J130529+1249.6, f150,1552707412.0,127.4,34.9,3.6504297994269344
J130529+1249.6, f150,1555911287.0,122.5,39.4,3.1091370558375635
J225302+1650.2, f090,1556362547.0,74.7,23.2,3.219827586206897
J225302+1650.2, f090,1560156548.0,70.9,20.9,3.392344497607656
J225302+1650.2, f090,1560843091.0,72.4,23.6,3.067796610169492
J225302+1650.2, f090,1560843620.0,75.3,21.2,3.55188679245283
J225302+1650.2, f090,1561105976.0,79.1,20.7,3.821256038647343
J225302+1650.2, f090,1561190578.0,59.1,19.1,3.094240837696335
J225302+1650.2, f090,1562139796.0,74.7,23.2,3.219827586206897
J225302+1650.2, f090,1563258502.0,59.1,18.8,3.1436170212765955
J130529+1249.6, f090,1564870807.0,52.2,16.6,3.144578313253012
J130529+1249.6, f090,1565028835.0,71.7,22.3,3.2152466367713006
J130529+1249.6, f090,1565114996.0,71.6,20.6,3.475728155339805
J130529+1249.6, f090,1565115427.0,72.0,18.2,3.956043956043956
J033647+0035.2, f090,1565529935.0,281.3,28.1,10.01067615658363
J033647+0035.2, f150,1565529937.0,133.6,38.0,3.5157894736842104
J033646+0035.1, f090,1565529942.0,282.7,28.0,10.096428571428572
J033646+0035.1, f150,1565529954.0,133.6,38.1,3.506561679790026
J033646+0035.1, f150,1565530292.0,144.6,41.9,3.451073985680191
J033647+0035.2, f090,1565530293.0,246.0,28.9,8.512110726643598
J033647+0035.2, f150,1565530296.0,144.8,42.0,3.447619047619048
J033646+0035.1, f090,1565530297.0,246.2,28.9,8.519031141868512
J192832-3507.9, f090,1565589488.0,129.8,23.1,5.61904761904762
J192832-3507.9, f150,1565589827.0,103.0,32.3,3.188854489164087
J192832-3507.9, f090,1565589839.0,108.0,26.9,4.014869888475837
J033647+0035.2, f090,1565789900.0,144.8,37.0,3.913513513513514
J033646+0035.1, f090,1565789930.0,147.2,37.0,3.978378378378378
J033647+0035.2, f090,1565790195.0,103.6,28.3,3.6607773851590095
J033647+0035.2, f150,1565790197.0,103.1,34.3,3.005830903790088
J033646+0035.1, f150,1565790201.0,106.9,34.3,3.1166180758017497
J033646+0035.1, f090,1565790206.0,101.5,28.3,3.586572438162544
J033647+0035.2, f150,1569665769.0,478.5,32.7,14.633027522935778
J033647+0035.2, f090,1569665779.0,692.9,28.0,24.74642857142857
J033646+0035.1, f090,1569665811.0,690.1,28.0,24.64642857142857
J033646+0035.1, f150,1569665822.0,479.4,32.6,14.705521472392636
J033647+0035.2, f150,1569666116.0,420.6,46.3,9.084233261339094
J033646+0035.1, f150,1569666149.0,412.7,46.2,8.932900432900432
J033647+0035.2, f220,1569666162.0,260.2,76.7,3.392438070404172
J033647+0035.2, f090,1569666176.0,641.8,25.9,24.779922779922774
J033646+0035.1, f090,1569666176.0,639.2,25.9,24.67953667953668
J033646+0035.1, f150,1569666179.0,422.3,33.0,12.796969696969697
J033647+0035.2, f150,1569666180.0,421.9,33.1,12.74622356495468
J033646+0035.1, f220,1569666189.0,265.1,76.5,3.465359477124183
J033647+0035.2, f150,1569820274.0,101.7,32.8,3.1006097560975614
J040942-0753.4, f150,1572577606.0,168.0,55.8,3.010752688172043
J165122-0050.1, f150,1596145161.0,88.2,26.6,3.3157894736842106
J035829-5446.6, f030,1596464814.0,573.2,126.1,4.545598731165742
J035829-5446.6, f150,1597217402.0,115.2,37.1,3.105121293800539
J035829-5446.6, f150,1597499519.0,138.2,44.7,3.0917225950782994
J035829-5446.6, f220,1597564259.0,208.3,61.8,3.370550161812298
J035829-5446.6, f150,1597564292.0,80.0,26.1,3.065134099616858
J035829-5446.6, f220,1597846369.0,372.4,112.5,3.310222222222222
J165122-0050.1, f040,1599441578.0,187.6,61.8,3.0355987055016183
J165122-0050.1, f090,1599441943.0,176.9,26.6,6.650375939849624
J165122-0050.1, f150,1599441944.0,125.1,33.4,3.745508982035928
J035829-5446.6, f150,1599483426.0,124.3,36.6,3.396174863387978
J035829-5446.6, f150,1599567364.0,228.5,39.4,5.799492385786802
J035829-5446.6, f150,1599567366.0,221.1,22.7,9.740088105726873
J035829-5446.6, f090,1599567369.0,83.2,20.9,3.980861244019139
J035829-5446.6, f220,1599567396.0,208.1,58.4,3.5633561643835616
J035829-5446.6, f220,1599632202.0,397.8,60.4,6.586092715231788
J035829-5446.6, f150,1599632214.0,262.4,23.5,11.165957446808507
J035829-5446.6, f090,1599632216.0,83.1,19.7,4.218274111675127
J035829-5446.6, f150,1599632253.0,193.0,34.5,5.594202898550725
J035829-5446.6, f150,1599825811.0,290.4,55.7,5.213644524236983
J035829-5446.6, f150,1599825852.0,191.7,31.8,6.028301886792453
J035829-5446.6, f090,1599825852.0,124.7,26.0,4.796153846153846
J035829-5446.6, f090,1599978045.0,146.7,26.8,5.473880597014925
J035829-5446.6, f150,1599978056.0,237.4,34.4,6.901162790697675
J035829-5446.6, f150,1600517389.0,241.4,39.7,6.080604534005038
J035829-5446.6, f150,1600601332.0,215.8,24.2,8.917355371900827
J035829-5446.6, f150,1600601338.0,257.5,40.3,6.389578163771713
J035829-5446.6, f090,1600601356.0,150.1,21.5,6.981395348837209
J035829-5446.6, f220,1600601386.0,442.1,52.5,8.42095238095238
J035829-5446.6, f090,1600666181.0,152.8,21.1,7.241706161137441
J035829-5446.6, f220,1600666184.0,306.2,49.4,6.198380566801619
J035829-5446.6, f150,1600666189.0,261.3,23.2,11.26293103448276
J035829-5446.6, f150,1600666218.0,233.4,36.7,6.35967302452316
J035829-5446.6, f150,1600859875.0,209.1,27.0,7.7444444444444445
J035829-5446.6, f090,1600859884.0,124.2,23.1,5.376623376623376
J035829-5446.6, f090,1601012023.0,132.3,20.9,6.330143540669858
J035829-5446.6, f220,1601012026.0,322.8,92.0,3.508695652173913
J035829-5446.6, f150,1601012037.0,228.6,28.0,8.164285714285715
J035829-5446.6, f150,1601012063.0,235.6,47.6,4.949579831932772
J035829-5446.6, f150,1601203270.0,216.8,47.7,4.545073375262055
J035829-5446.6, f090,1601203309.0,132.8,22.1,6.009049773755656
J035829-5446.6, f150,1601203315.0,215.8,28.2,7.652482269503547
J035829-5446.6, f090,1601353266.0,179.0,24.0,7.458333333333333
J035829-5446.6, f220,1601353276.0,396.7,91.7,4.326063249727372
J035829-5446.6, f150,1601353280.0,257.7,33.3,7.738738738738739
J035829-5446.6, f150,1602237232.0,182.3,49.1,3.712830957230143
J035829-5446.6, f150,1602237285.0,234.6,29.1,8.061855670103093
J035829-5446.6, f090,1602237302.0,163.2,22.9,7.126637554585153
J035829-5446.6, f090,1602387245.0,144.0,25.3,5.691699604743083
J035829-5446.6, f150,1602387257.0,235.4,35.0,6.725714285714286
J035829-5446.6, f150,1602585396.0,161.0,45.1,3.5698447893569845
J035829-5446.6, f090,1602585407.0,119.6,30.9,3.870550161812298
J035829-5446.6, f220,1602734087.0,253.4,77.1,3.2866407263294426
J035829-5446.6, f150,1602734114.0,233.6,26.8,8.716417910447761
J035829-5446.6, f090,1602734124.0,123.6,21.5,5.748837209302326
J035829-5446.6, f150,1602734191.0,173.8,46.0,3.7782608695652176
J035829-5446.6, f150,1602927775.0,197.9,41.4,4.780193236714976
J035829-5446.6, f090,1602927784.0,137.6,21.4,6.429906542056075
J035829-5446.6, f150,1602927788.0,139.6,25.9,5.38996138996139
J035829-5446.6, f220,1602927804.0,215.2,57.2,3.762237762237762
J173353+1655.1, f040,1602970702.0,395.9,74.4,5.321236559139784
J173353+1655.1, f150,1602971386.0,150.2,42.4,3.542452830188679
J173353+1655.1, f150,1602971440.0,201.2,24.8,8.11290322580645
J173353+1655.1, f090,1602971449.0,300.4,19.5,15.405128205128204
J165122-0050.1, f090,1602973287.0,78.6,26.2,3.0
J035829-5446.6, f090,1603079951.0,193.6,28.2,6.865248226950355
J035829-5446.6, f150,1603079955.0,133.1,39.8,3.3442211055276383
J035829-5446.6, f090,1603421223.0,133.1,25.3,5.260869565217391
J204746-3635.7, f220,1603937603.0,222.0,72.1,3.079056865464633
J204746-3635.7, f030,1604172715.0,491.2,152.0,3.231578947368421
J204746-3635.7, f030,1606005177.0,462.9,154.2,3.001945525291829
J194951-3635.4, f150,1617265101.0,110.3,27.7,3.9819494584837543
J194951-3635.4, f090,1617265106.0,85.8,24.2,3.5454545454545454
J194951-3635.4, f090,1617891949.0,154.2,31.3,4.926517571884983
J194951-3635.4, f090,1617952938.0,141.6,32.1,4.411214953271028
J194951-3635.4, f090,1618583513.0,93.3,26.5,3.520754716981132
J194951-3635.4, f150,1618644484.0,98.1,30.3,3.2376237623762374
J194951-3635.4, f090,1618644486.0,146.0,24.8,5.887096774193548
J194951-3635.4, f090,1618925919.0,104.2,27.4,3.802919708029197
J194951-3635.4, f090,1618986911.0,88.2,25.4,3.4724409448818903
J194951-3635.4, f090,1619333087.0,100.9,28.9,3.4913494809688586
J194951-3635.4, f090,1619419219.0,73.8,24.2,3.049586776859504
J194951-3635.4, f150,1620305279.0,98.6,32.4,3.0432098765432096
J194951-3635.4, f090,1620367020.0,118.3,27.6,4.286231884057971
J194951-3635.4, f150,1620563781.0,123.2,30.5,4.039344262295082
J194951-3635.4, f090,1620563787.0,157.4,26.0,6.053846153846154
J194951-3635.4, f150,1621054832.0,189.0,46.7,4.047109207708779
J194951-3635.4, f150,1621254552.0,198.5,48.2,4.118257261410788
J194951-3635.4, f090,1621254586.0,146.5,25.0,5.86
J194951-3635.4, f150,1621339199.0,185.8,54.0,3.440740740740741
J194951-3635.4, f150,1621339266.0,163.6,29.7,5.508417508417509
J194951-3635.4, f090,1621339267.0,171.3,25.8,6.6395348837209305
J194951-3635.4, f090,1621830317.0,312.0,25.9,12.046332046332047
J194951-3635.4, f150,1621830334.0,224.2,34.2,6.5555555555555545
J194951-3635.4, f150,1621830336.0,235.6,51.3,4.592592592592593
J194951-3635.4, f040,1621830755.0,225.9,74.4,3.036290322580645
J194951-3635.4, f150,1621941645.0,248.7,61.3,4.057096247960848
J194951-3635.4, f090,1621941667.0,324.9,31.2,10.413461538461538
J194951-3635.4, f150,1621941684.0,252.1,39.7,6.350125944584383
J194951-3635.4, f090,1623122782.0,280.0,30.3,9.24092409240924
J194951-3635.4, f040,1623123113.0,295.5,88.2,3.3503401360544216
J033646+0035.1, f090,1633064365.0,318.4,30.4,10.473684210526317
J033646+0035.1, f150,1633064366.0,143.5,44.0,3.261363636363636
