Star Name,Event ID,Band,Intensity (mJy),Pol Amplitude (mJy),3-Sigma Limit (mJy),Max Pol Fraction
J001309+0535.5,27,f090,157.6,68.3,111.52,0.7076
J001309+0535.5,27,f150,168.7,38.9,116.79,0.6923
J001309+0535.5,27,f150,259.0,38.9,116.79,0.4509
J011636-0229.8,7,f090,169.0,47.36,54.91,0.3249
J011636-0229.8,7,f150,165.6,25.24,62.85,0.3795
J011636-0229.8,7,f090,187.6,47.36,54.91,0.2927
J033646+0035.1,15,f150,387.7,47.61,52.52,0.1355
J033646+0035.1,15,f150,384.1,47.61,52.52,0.1367
J033646+0035.1,15,f150,222.2,47.61,52.52,0.2363
J033646+0035.1,15,f090,521.6,57.75,45.13,0.0865
J033646+0035.1,15,f150,227.7,47.61,52.52,0.2306
J033646+0035.1,15,f090,522.1,57.75,45.13,0.0864
J033646+0035.1,15,f090,281.3,57.75,45.13,0.1604
J033646+0035.1,15,f150,133.6,47.61,52.52,0.3931
J033646+0035.1,15,f090,282.7,57.75,45.13,0.1596
J033646+0035.1,15,f150,133.6,47.61,52.52,0.3931
J033646+0035.1,15,f150,144.6,47.61,52.52,0.3632
J033646+0035.1,15,f090,246.0,57.75,45.13,0.1835
J033646+0035.1,15,f150,144.8,47.61,52.52,0.3627
J033646+0035.1,15,f090,246.2,57.75,45.13,0.1833
J033646+0035.1,15,f090,144.8,14.72,61.77,0.4266
J033646+0035.1,15,f090,147.2,14.72,61.77,0.4196
J033646+0035.1,15,f090,103.6,14.72,61.77,0.5962
J033646+0035.1,15,f150,103.1,52.24,64.35,0.6241
J033646+0035.1,15,f150,106.9,52.24,64.35,0.6019
J033646+0035.1,15,f090,101.5,14.72,61.77,0.6086
J033646+0035.1,15,f090,198.5,31.22,53.79,0.271
J033646+0035.1,15,f150,150.1,30.48,64.64,0.4306
J033646+0035.1,15,f150,149.7,30.48,64.64,0.4318
J033646+0035.1,15,f090,201.2,31.22,53.79,0.2673
J033646+0035.1,15,f090,155.3,31.22,53.79,0.3464
J033646+0035.1,15,f090,156.4,31.22,53.79,0.3439
J033646+0035.1,15,f150,478.5,37.0,58.08,0.1214
J033646+0035.1,15,f090,692.9,12.09,52.24,0.0754
J033646+0035.1,15,f090,690.1,12.09,52.24,0.0757
J033646+0035.1,15,f150,479.4,37.0,58.08,0.1212
J033646+0035.1,15,f150,420.6,37.0,58.08,0.1381
J033646+0035.1,15,f150,412.7,37.0,58.08,0.1407
J033646+0035.1,15,f220,260.2,127.57,217.96,0.8377
J033646+0035.1,15,f090,641.8,12.09,52.24,0.0814
J033646+0035.1,15,f090,639.2,12.09,52.24,0.0817
J033646+0035.1,15,f150,422.3,37.0,58.08,0.1375
J033646+0035.1,15,f150,421.9,37.0,58.08,0.1377
J033646+0035.1,15,f220,265.1,127.57,217.96,0.8222
J033646+0035.1,15,f150,101.7,28.74,64.71,0.6363
J033646+0035.1,15,f150,261.4,54.46,110.01,0.4208
J033646+0035.1,15,f090,625.0,14.98,103.92,0.1663
J033646+0035.1,15,f150,351.2,54.46,110.01,0.3132
J033646+0035.1,15,f090,318.4,25.6,99.76,0.3133
J033646+0035.1,15,f150,143.5,100.68,124.9,0.8704
J035829-5446.6,22,f030,573.2,133.22,205.11,0.3578
J035829-5446.6,22,f150,115.2,31.16,89.12,0.7736
J035829-5446.6,22,f150,138.2,8.27,58.52,0.4235
J035829-5446.6,22,f220,208.3,73.32,162.65,0.7809
J035829-5446.6,22,f150,80.0,8.27,58.52,0.7315
J035829-5446.6,22,f220,372.4,34.51,304.48,0.8176
J035829-5446.6,22,f220,201.1,126.04,242.41,1.2054
J035829-5446.6,22,f150,212.1,14.2,81.32,0.3834
J035829-5446.6,22,f090,130.3,73.76,85.88,0.6591
J035829-5446.6,22,f150,198.0,14.2,81.32,0.4107
J035829-5446.6,22,f150,124.3,36.74,50.23,0.4041
J035829-5446.6,22,f150,228.5,36.74,50.23,0.2198
J035829-5446.6,22,f150,221.1,36.74,50.23,0.2272
J035829-5446.6,22,f090,83.2,23.86,56.05,0.6737
J035829-5446.6,22,f220,208.1,33.33,132.08,0.6347
J035829-5446.6,22,f220,397.8,33.33,132.08,0.332
J035829-5446.6,22,f150,262.4,36.74,50.23,0.1914
J035829-5446.6,22,f090,83.1,23.86,56.05,0.6745
J035829-5446.6,22,f150,193.0,36.74,50.23,0.2603
J035829-5446.6,22,f150,290.4,30.96,95.92,0.3303
J035829-5446.6,22,f150,191.7,30.96,95.92,0.5004
J035829-5446.6,22,f090,124.7,19.6,89.04,0.714
J035829-5446.6,22,f090,146.7,39.05,93.54,0.6376
J035829-5446.6,22,f150,237.4,34.11,110.81,0.4668
J035829-5446.6,22,f150,241.4,15.55,51.16,0.2119
J035829-5446.6,22,f150,215.8,15.55,51.16,0.2371
J035829-5446.6,22,f150,257.5,15.55,51.16,0.1987
J035829-5446.6,22,f090,150.1,33.14,51.33,0.342
J035829-5446.6,22,f220,442.1,62.92,138.72,0.3138
J035829-5446.6,22,f090,152.8,33.14,51.33,0.3359
J035829-5446.6,22,f220,306.2,62.92,138.72,0.4531
J035829-5446.6,22,f150,261.3,15.55,51.16,0.1958
J035829-5446.6,22,f150,233.4,15.55,51.16,0.2192
J035829-5446.6,22,f150,209.1,26.65,103.51,0.495
J035829-5446.6,22,f090,124.2,21.93,90.17,0.726
J035829-5446.6,22,f090,132.3,6.72,58.26,0.4404
J035829-5446.6,22,f220,322.8,136.3,356.92,1.1057
J035829-5446.6,22,f150,228.6,6.22,65.17,0.2851
J035829-5446.6,22,f150,235.6,6.22,65.17,0.2766
J035829-5446.6,22,f150,216.8,6.22,65.17,0.3006
J035829-5446.6,22,f090,132.8,6.72,58.26,0.4387
J035829-5446.6,22,f150,215.8,6.22,65.17,0.302
J035829-5446.6,22,f090,179.0,22.06,87.53,0.489
J035829-5446.6,22,f220,396.7,34.71,343.39,0.8656
J035829-5446.6,22,f150,257.7,28.6,97.32,0.3776
J035829-5446.6,22,f150,182.3,13.75,87.87,0.482
J035829-5446.6,22,f150,234.6,13.75,87.87,0.3746
J035829-5446.6,22,f090,163.2,23.86,82.92,0.5081
J035829-5446.6,22,f090,144.0,3.19,89.47,0.6213
J035829-5446.6,22,f150,235.4,28.09,102.54,0.4356
J035829-5446.6,22,f150,161.0,9.11,77.56,0.4818
J035829-5446.6,22,f090,119.6,2.96,67.35,0.5631
J035829-5446.6,22,f220,253.4,148.86,306.24,1.2085
J035829-5446.6,22,f150,233.6,9.11,77.56,0.332
J035829-5446.6,22,f090,123.6,2.96,67.35,0.5449
J035829-5446.6,22,f150,173.8,9.11,77.56,0.4463
J035829-5446.6,22,f150,197.9,27.64,79.77,0.4031
J035829-5446.6,22,f090,137.6,16.89,79.6,0.5785
J035829-5446.6,22,f150,139.6,27.64,79.77,0.5714
J035829-5446.6,22,f220,215.2,48.1,215.24,1.0002
J035829-5446.6,22,f090,193.6,13.37,89.94,0.4645
J035829-5446.6,22,f150,133.1,72.9,114.53,0.8605
J035829-5446.6,22,f090,133.1,28.4,91.6,0.6882
J040942-0753.4,20,f150,168.0,41.8,81.87,0.4873
J040942-0753.4,20,f090,218.9,24.76,80.01,0.3655
J040942-0753.4,20,f150,134.3,48.77,100.66,0.7495
J040942-0753.4,20,f090,160.0,24.76,80.01,0.5001
J050047-5715.6,11,f090,210.2,4.03,38.29,0.1821
J050047-5715.6,11,f150,166.4,19.51,44.71,0.2687
J050047-5715.6,11,f150,146.4,19.51,44.71,0.3054
J050047-5715.6,11,f090,112.4,4.03,38.29,0.3406
J050047-5715.6,11,f150,130.6,19.51,44.71,0.3423
J051921-0720.7,6,f090,103.6,20.34,48.18,0.4651
J051921-0720.7,6,f090,122.5,20.34,48.18,0.3933
J051921-0720.7,6,f150,128.7,51.07,69.92,0.5433
J051921-0720.7,6,f090,200.9,13.45,55.36,0.2756
J051921-0720.7,6,f150,228.1,51.07,69.92,0.3065
J051921-0720.7,6,f090,214.0,13.45,55.36,0.2587
J051921-0720.7,6,f150,248.1,5.31,58.89,0.2374
J051921-0720.7,6,f090,212.1,21.02,47.15,0.2223
J051921-0720.7,6,f090,267.2,21.02,47.15,0.1764
J051921-0720.7,6,f150,152.4,5.31,58.89,0.3864
J101935+1952.3,13,f150,210.0,15.29,29.63,0.1411
J125045+1133.4,16,f090,289.8,33.81,48.56,0.1676
J125045+1133.4,16,f150,223.9,44.23,74.04,0.3307
J125045+1133.4,16,f150,161.2,44.23,74.04,0.4593
J125045+1133.4,16,f090,182.6,33.81,48.56,0.2659
J130046+1222.5,10,f090,117.3,5.73,20.02,0.1707
J130046+1222.5,10,f150,105.6,11.76,23.1,0.2187
J130046+1222.5,10,f090,115.8,5.73,20.02,0.1729
J130046+1222.5,10,f150,77.1,15.57,34.94,0.4532
J130529+1249.6,14,f150,268.8,19.55,47.72,0.1775
J130529+1249.6,14,f090,140.7,8.51,41.23,0.293
J130529+1249.6,14,f150,137.8,19.55,47.72,0.3463
J130529+1249.6,14,f090,111.7,8.51,41.23,0.3691
J130529+1249.6,14,f150,99.9,19.55,47.72,0.4777
J130529+1249.6,14,f150,88.9,11.29,36.53,0.4109
J130529+1249.6,14,f090,158.2,7.57,32.59,0.206
J130529+1249.6,14,f090,134.6,7.57,32.59,0.2421
J130529+1249.6,14,f150,103.4,11.29,36.53,0.3533
J130529+1249.6,14,f150,127.4,11.29,36.53,0.2867
J130529+1249.6,14,f150,122.5,25.56,94.96,0.7751
J130529+1249.6,14,f090,127.1,3.4,31.4,0.2471
J130529+1249.6,14,f150,129.0,22.31,35.85,0.2779
J130529+1249.6,14,f090,120.6,3.4,31.4,0.2604
J130529+1249.6,14,f150,126.8,22.31,35.85,0.2827
J130529+1249.6,14,f090,52.2,3.4,31.4,0.6016
J130529+1249.6,14,f090,71.7,25.9,26.66,0.3718
J130529+1249.6,14,f090,71.6,25.9,26.66,0.3723
J130529+1249.6,14,f090,72.0,25.9,26.66,0.3702
J142555+1412.0,2,f090,280.9,5.8,18.87,0.0672
J142555+1412.0,2,f150,544.7,4.43,26.53,0.0487
J142555+1412.0,2,f090,352.4,5.8,18.87,0.0535
J142555+1412.0,2,f090,110.0,5.8,18.87,0.1715
J142555+1412.0,2,f090,78.4,5.8,18.87,0.2407
J142555+1412.0,2,f090,131.5,5.8,18.87,0.1435
J142555+1412.0,2,f150,108.3,4.43,26.53,0.245
J142555+1412.0,2,f090,64.6,5.14,19.42,0.3007
J142555+1412.0,2,f220,359.0,31.4,169.29,0.4716
J142555+1412.0,2,f150,524.9,16.71,24.5,0.0467
J142555+1412.0,2,f090,629.2,8.58,21.66,0.0344
J142555+1412.0,2,f220,373.7,36.98,151.21,0.4046
J142555+1412.0,2,f150,551.1,16.71,24.5,0.0445
J142555+1412.0,2,f090,510.2,8.58,21.66,0.0425
J142555+1412.0,2,f150,522.5,16.71,24.5,0.0469
J142555+1412.0,2,f090,142.6,20.25,22.16,0.1554
J142555+1412.0,2,f090,66.6,11.58,25.21,0.3786
J165122-0050.1,23,f150,88.2,10.07,52.19,0.5917
J165122-0050.1,23,f220,379.7,43.87,109.74,0.289
J165122-0050.1,23,f090,685.5,13.22,41.71,0.0608
J165122-0050.1,23,f150,674.7,24.61,41.26,0.0612
J165122-0050.1,23,f150,659.1,24.61,41.26,0.0626
J165122-0050.1,23,f040,187.6,7.33,135.05,0.7199
J165122-0050.1,23,f090,176.9,13.22,41.71,0.2358
J165122-0050.1,23,f150,125.1,24.61,41.26,0.3298
J165122-0050.1,23,f090,78.6,32.96,56.58,0.7198
J173353+1655.1,24,f150,1070.1,20.58,50.05,0.0468
J173353+1655.1,24,f090,1004.1,9.56,44.91,0.0447
J173353+1655.1,24,f220,735.2,116.78,173.5,0.236
J173353+1655.1,24,f150,1077.4,20.58,50.05,0.0465
J173353+1655.1,24,f040,623.4,187.53,188.55,0.3025
J173353+1655.1,24,f040,395.9,187.53,188.55,0.4763
J173353+1655.1,24,f150,150.2,20.58,50.05,0.3332
J173353+1655.1,24,f150,201.2,20.58,50.05,0.2487
J173353+1655.1,24,f090,300.4,9.56,44.91,0.1495
J174146+0228.6,17,f090,168.6,10.64,36.78,0.2182
J174146+0228.6,17,f150,152.4,9.32,41.57,0.2728
J174146+0228.6,17,f090,129.9,10.64,36.78,0.2832
J174146+0228.6,17,f150,115.1,9.32,41.57,0.3612
J175954+1044.3,1,f150,106.4,25.19,54.83,0.5154
J175954+1044.3,1,f090,147.5,11.64,43.08,0.2921
J175954+1044.3,1,f150,229.3,25.19,54.83,0.2391
J175954+1044.3,1,f150,292.9,25.19,54.83,0.1872
J175954+1044.3,1,f220,290.9,85.54,307.52,1.0571
J180723+1942.3,19,f090,184.3,26.77,55.77,0.3026
J180723+1942.3,19,f090,144.1,26.77,55.77,0.387
J181515-4927.7,18,f150,549.6,18.7,87.11,0.1585
J181515-4927.7,18,f090,314.1,43.0,58.39,0.1859
J181515-4927.7,18,f150,1000.1,18.7,87.11,0.0871
J181515-4927.7,18,f090,616.8,43.0,58.39,0.0947
J192831-3507.9,9,f090,83.2,6.99,39.81,0.4785
J192831-3507.9,9,f150,2289.2,8.77,48.3,0.0211
J192831-3507.9,9,f090,1732.5,6.99,39.81,0.023
J192831-3507.9,9,f150,2331.0,8.77,48.3,0.0207
J192831-3507.9,9,f090,1793.9,6.99,39.81,0.0222
J192831-3507.9,9,f090,549.7,13.8,67.83,0.1234
J192831-3507.9,9,f150,624.6,76.06,80.25,0.1285
J192831-3507.9,9,f220,593.6,189.15,308.49,0.5197
J192831-3507.9,9,f150,622.9,76.06,80.25,0.1288
J192831-3507.9,9,f090,513.2,13.8,67.83,0.1322
J192831-3507.9,9,f150,595.3,76.06,80.25,0.1348
J192831-3507.9,9,f090,129.8,13.8,67.83,0.5226
J192831-3507.9,9,f150,103.0,76.06,80.25,0.7792
J192831-3507.9,9,f090,108.0,13.8,67.83,0.628
J193938-0603.7,21,f150,621.1,98.67,126.34,0.2034
J193938-0603.7,21,f150,656.4,98.67,126.34,0.1925
J193938-0603.7,21,f090,330.5,9.84,117.22,0.3547
J193938-0603.7,21,f220,903.9,36.9,373.01,0.4127
J194951-3635.4,26,f150,110.3,28.71,63.65,0.5771
J194951-3635.4,26,f090,85.8,18.03,59.19,0.6899
J194951-3635.4,26,f090,154.2,47.66,86.47,0.5608
J194951-3635.4,26,f090,141.6,10.45,101.01,0.7133
J194951-3635.4,26,f090,93.3,43.87,66.94,0.7174
J194951-3635.4,26,f150,98.1,8.36,68.16,0.6948
J194951-3635.4,26,f090,146.0,43.87,66.94,0.4585
J194951-3635.4,26,f090,104.2,30.33,83.2,0.7985
J194951-3635.4,26,f090,88.2,71.96,76.98,0.8727
J194951-3635.4,26,f090,100.9,50.1,74.02,0.7336
J194951-3635.4,26,f090,73.8,50.1,74.02,1.003
J194951-3635.4,26,f150,98.6,14.05,85.77,0.8699
J194951-3635.4,26,f090,118.3,6.94,73.97,0.6253
J194951-3635.4,26,f150,123.2,48.18,86.03,0.6983
J194951-3635.4,26,f090,157.4,13.29,74.78,0.4751
J194951-3635.4,26,f150,189.0,45.77,82.37,0.4358
J194951-3635.4,26,f150,198.5,45.77,82.37,0.415
J194951-3635.4,26,f090,146.5,23.44,83.93,0.5729
J194951-3635.4,26,f150,185.8,57.97,73.02,0.393
J194951-3635.4,26,f150,163.6,57.97,73.02,0.4463
J194951-3635.4,26,f090,171.3,38.78,71.13,0.4152
J194951-3635.4,26,f150,194.0,57.97,73.02,0.3764
J194951-3635.4,26,f090,221.5,38.78,71.13,0.3211
J194951-3635.4,26,f150,231.0,57.97,73.02,0.3161
J194951-3635.4,26,f090,312.0,38.89,73.97,0.2371
J194951-3635.4,26,f150,224.2,53.15,81.77,0.3647
J194951-3635.4,26,f150,235.6,53.15,81.77,0.3471
J194951-3635.4,26,f040,225.9,98.68,196.41,0.8694
J194951-3635.4,26,f150,248.7,53.15,81.77,0.3288
J194951-3635.4,26,f090,324.9,38.89,73.97,0.2277
J194951-3635.4,26,f150,252.1,53.15,81.77,0.3244
J194951-3635.4,26,f090,280.0,10.74,102.42,0.3658
J194951-3635.4,26,f040,295.5,115.15,289.53,0.9798
J200759+1609.9,8,f090,355.0,20.41,36.89,0.1039
J200759+1609.9,8,f150,273.6,11.4,45.49,0.1663
J200759+1609.9,8,f220,207.9,13.84,159.96,0.7694
J200759+1609.9,8,f090,416.3,20.41,36.89,0.0886
J200759+1609.9,8,f150,353.5,11.4,45.49,0.1287
J200759+1609.9,8,f090,191.2,20.41,36.89,0.1929
J200759+1609.9,8,f090,149.2,20.41,36.89,0.2472
J200759+1609.9,8,f150,108.7,28.52,45.65,0.4199
J200759+1609.9,8,f090,119.1,19.9,37.74,0.3169
J200759+1609.9,8,f090,155.5,19.9,37.74,0.2427
J200759+1609.9,8,f090,92.5,19.9,37.74,0.408
J200759+1609.9,8,f150,95.8,28.52,45.65,0.4765
J200759+1609.9,8,f090,84.7,19.9,37.74,0.4456
J200759+1609.9,8,f150,146.4,17.68,50.13,0.3424
J203622+1215.6,3,f150,177.0,55.36,76.49,0.4322
J203622+1215.6,3,f090,213.4,17.52,68.24,0.3198
J203622+1215.6,3,f090,144.0,17.52,68.24,0.4739
J203622+1215.6,3,f150,133.7,55.36,76.49,0.5721
J204746-3635.7,25,f220,222.0,272.12,241.06,1.0859
J204746-3635.7,25,f030,491.2,65.01,317.36,0.6461
J204746-3635.7,25,f150,414.1,98.61,160.86,0.3885
J204746-3635.7,25,f150,437.8,98.61,160.86,0.3674
J204746-3635.7,25,f030,462.9,321.23,393.27,0.8496
J224500-3315.4,4,f220,231.3,35.43,89.91,0.3887
J224500-3315.4,4,f090,243.4,10.7,18.35,0.0754
J224500-3315.4,4,f150,170.2,9.13,21.99,0.1292
J224500-3315.4,4,f150,176.1,9.13,21.99,0.1249
J224500-3315.4,4,f150,225.3,9.13,21.99,0.0976
J224500-3315.4,4,f090,239.4,10.7,18.35,0.0766
J224500-3315.4,4,f150,151.1,30.81,50.28,0.3328
J224500-3315.4,4,f150,94.5,30.81,50.28,0.5321
J225302+1650.2,5,f090,79.3,24.28,39.35,0.4962
J225302+1650.2,5,f150,74.7,42.42,50.01,0.6695
J225302+1650.2,5,f090,60.8,14.4,52.99,0.8716
J225302+1650.2,5,f090,235.5,4.16,52.45,0.2227
J225302+1650.2,5,f150,129.3,50.22,83.32,0.6444
J225302+1650.2,5,f090,210.8,4.16,52.45,0.2488
J225302+1650.2,5,f090,74.7,64.51,91.95,1.2309
J225302+1650.2,5,f150,163.5,27.29,47.28,0.2892
J225302+1650.2,5,f090,251.5,19.74,40.91,0.1626
J225302+1650.2,5,f150,214.1,27.29,47.28,0.2208
J225302+1650.2,5,f150,132.4,27.29,47.28,0.3571
J225302+1650.2,5,f090,169.6,19.74,40.91,0.2412
J225302+1650.2,5,f090,70.9,22.41,41.06,0.5791
J225302+1650.2,5,f090,72.4,46.44,60.65,0.8377
J225302+1650.2,5,f090,75.3,46.44,60.65,0.8054
J225302+1650.2,5,f090,79.1,9.17,47.36,0.5987
J225302+1650.2,5,f090,59.1,34.53,43.93,0.7433
J225302+1650.2,5,f090,74.7,104.51,78.47,1.0505
J225302+1650.2,5,f090,59.1,23.55,41.43,0.7011
